Date,Germany,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Czech Republic,Denmark,Estonia,Finland,France,Cyprus,Croatia,Netherlands,United Kingdom,Ireland,Spain,Sweden,Switzerland,Italy,Iceland,Montenegro,Kosovo,Latvia,Lithuania,Luxembourg,Hungary,Macedonia,Malta,Norway,Poland,Portugal,Romania,Serbia,Slovak Republic,Slovenia,Greece,Other Europe Countries,Total Europe,Azerbaijan,Belarus,Armenia,Georgia,Kazakhstan,Kyrgyzstan,Moldova,Uzbekistan,Russia,Tajikistan,Turkmenistan,Ukraine,Total UIS,United States,Argentina,Brazil,Canada,Colombia,Mexico,Chile,Venezuela,Other America Countries,Total America,Algeria,Morocco,South Africa,Libya,Egypt,Sudan,Tunisia,East Africa,Total Africa,United Arab Emirates,Bahrain,Bangladesh,China,Indonesia,Philippines,South Korea,India,Iraq,Iran,Israel,Japan,Turkish Republic of Northern Cyprus,Qatar,Kuwait,Lebanon,Malaysia,Pakistan,Singapore,Syria,Saudi Arabia,Thailand,Jordan,Yemen,Other Asia Countries,Total Asia,Australia,New Zealand,Oceania,Haymatlos,Grand Total
2008-01,177233,2811,20207,12389,2546,99048,1824,5613,426,1921,30796,296,2354,32012,35215,2086,7724,8156,9655,24918,72,0,0,1126,1076,164,2266,5480,114,3488,4543,810,16966,8449,883,1279,27656,91,551693,29978,1764,2500,40517,6059,3859,7769,3431,52741,2965,5221,20789,177593,22581,662,1442,3670,277,720,185,494,1590,31621,3719,2088,586,2526,2320,329,2541,1164,15273,568,194,226,3848,545,1248,13933,2825,8771,29120,16500,10985,10696,91,275,1836,1153,1858,736,24464,721,563,2787,116,2921,136980,4823,497,3,1056,919539
2008-02,143666,2604,16295,11309,2342,82707,2064,5464,515,1723,29228,369,1738,23565,33385,1723,8331,5808,8947,15204,99,0,0,1309,1198,155,2281,5253,110,3203,5009,999,21941,7248,1379,1378,21990,60,470599,33028,2999,3586,43820,8777,3398,9322,4520,46999,4837,5407,21474,188167,18562,612,1446,2981,107,546,554,125,1895,26828,2825,2094,578,1871,3201,220,2216,1600,14605,252,166,357,4972,486,2018,10652,2688,10418,36619,19408,11197,15090,105,478,1719,1679,1685,909,24949,1499,516,2594,299,3191,153946,3254,394,11,947,858751
2008-03,249797,3626,23558,21097,2952,102877,2524,11288,695,4142,36832,435,2649,34660,46445,3593,27664,11248,13368,25805,367,0,0,2050,2262,341,3085,5930,280,8424,5100,1849,21451,8441,1408,1322,44384,145,732094,37111,3040,3731,49739,8070,3597,10433,4133,52034,6169,6562,23654,208273,29479,789,1318,5090,238,1430,248,412,1857,40861,3936,2338,1077,2672,3412,336,3684,1709,19164,605,247,245,4014,910,2040,8717,4180,13165,81837,29858,12858,11621,113,256,2842,2424,1800,1117,27203,1016,1003,3280,287,4073,215711,3571,592,69,1233,1221568
2008-04,242531,3219,22668,30772,3539,110627,4198,10878,1098,7661,73221,527,2384,47950,85841,3846,20599,14843,14681,34936,622,0,0,2251,3400,394,3974,7985,259,9692,9547,2006,26194,9357,1957,1910,46099,133,861799,35267,4130,4011,57554,8178,3474,11654,3991,64565,4361,6825,29568,233578,38922,916,2387,7395,283,1501,527,469,2235,54635,4898,2774,1267,3172,3441,330,2877,1826,20585,405,232,224,4586,1149,1971,12782,4201,12539,63238,50992,11516,14283,158,896,3939,1840,1746,1302,27704,2074,1081,3455,331,4547,227191,10084,2249,70,1304,1411495
2008-05,399724,4156,32265,50483,4709,148642,9286,26008,4508,12479,85549,888,2997,183312,203340,11936,31934,47482,22433,58499,463,0,0,6950,14423,2813,5364,8042,242,22667,34855,3393,32095,11950,2815,3649,51656,170,1542177,39946,14623,4756,70673,12683,3678,15074,4645,284720,3873,6740,90428,551839,80430,2358,5157,18578,488,2287,1094,744,3368,114504,5284,3274,2244,3379,4073,562,4135,2807,25758,617,323,267,6100,1500,2456,12960,6783,13530,87791,40665,13258,15258,154,884,2565,2614,2659,1693,30869,2025,1005,4336,444,7854,258610,13011,2606,11,1481,2509997
2008-06,364145,4862,44762,54415,6093,142896,22824,29591,4649,12565,76481,898,2500,99473,289104,17955,31267,53109,18824,72876,2065,0,0,7551,15560,606,10138,8830,262,33896,48630,4058,47225,15247,9278,3558,54939,230,1611362,42237,26816,4966,65192,29542,3946,18089,5261,514984,2703,6800,100126,820662,79917,2363,4340,12684,656,2787,1012,789,4963,109511,4792,3460,2227,3695,3697,931,3874,2750,25426,1458,520,356,5286,1914,2935,9905,6551,15714,114615,62607,15348,16010,272,1707,4338,2837,3196,2200,32572,2758,779,7329,426,6653,318286,13024,2687,11,1979,2902948
2008-07,519849,9718,69174,102714,8854,149194,30617,62271,5602,11532,85688,2021,3057,150207,319087,19555,40266,63953,32838,56925,1535,0,0,7104,13140,617,19674,13902,284,53710,88223,4286,64272,27820,16411,6498,59103,289,2119990,45003,28474,7434,78527,40577,3800,16215,6464,492831,1720,7422,115681,844148,88506,1823,6810,15903,1080,4865,995,1196,5699,126877,5652,4296,3080,4280,6547,693,4375,2520,31443,5205,1987,455,5981,2139,2703,9963,5464,24817,131540,74018,12434,26611,1110,4919,6908,1290,3279,1167,43426,9587,773,15335,635,9522,401268,15074,3337,17,3641,3545795
2008-08,728774,12534,145205,130769,9554,151924,29955,54233,4944,12711,214137,2449,3559,264823,407541,22768,61573,73364,39798,118514,1241,0,0,8165,13492,1866,17459,17517,701,46532,75398,7087,74831,33703,15643,5127,78378,320,2886589,50770,26422,11448,74194,44402,4301,18118,7769,519843,2229,8625,122470,890591,72971,1733,3394,17635,536,2139,844,1672,18798,119722,10636,7853,2811,5921,9879,938,4970,3196,46204,6662,2953,263,4436,1409,2755,11840,4733,36140,138798,94919,14709,31024,2071,7797,10943,1439,4026,846,52328,24972,954,16285,1005,8416,481723,17875,2842,36,4499,4450081
2008-09,536884,8984,49996,79138,5396,162861,29933,29362,4904,13371,91247,942,2959,112516,379733,17734,49169,52801,23819,78671,1505,0,0,9018,13315,2368,14293,8531,545,31442,76987,5578,77961,21023,12900,4852,46000,188,2056926,45102,23578,6099,89446,25964,4324,14402,6443,470108,1621,7562,105407,800056,81973,3217,6771,24987,942,3483,1513,1383,4059,128328,3606,1910,2837,2996,2417,415,2574,2263,19018,203,147,305,4652,873,2182,7871,3839,19627,78846,56984,12538,16305,61,817,5198,1372,2369,1428,30797,2499,780,2881,261,5931,258766,18352,3450,26,2076,3286998
2008-10,601367,3890,41668,50641,5870,124976,19544,31031,4675,17983,72609,590,3568,153989,282241,9139,29180,50970,48230,59175,1110,0,0,8497,10640,767,10013,7909,274,27144,38010,2778,28553,11982,3411,4458,53522,300,1820704,30453,15467,5843,81277,14063,4221,10170,5896,251660,1419,7813,65694,493976,98928,2718,6931,28320,769,4976,787,1398,3552,148379,5210,3500,2215,3563,5819,704,2851,2391,26253,922,490,420,5319,1892,3008,9284,4804,20409,114934,68385,13745,15384,261,1094,5066,2976,2592,2056,35187,4056,1331,6945,473,7562,328595,16315,3346,11,2394,2839973
2008-11,289092,3708,25466,23595,4437,104830,4199,7585,1233,4492,55309,415,2284,37825,72386,3343,16201,18083,14169,34043,131,0,0,2412,3092,399,4276,10085,288,6256,6376,1738,21414,9622,2252,1674,40126,161,832997,39454,3487,5206,81884,10278,4432,6466,6676,66871,1898,8770,21058,256480,56856,923,2007,10176,282,1779,465,351,2499,75338,5784,2875,1007,5068,4276,626,4657,2433,26726,492,363,350,5939,1193,2495,7648,4741,20421,95185,25081,10678,11496,118,584,4236,2228,2843,2259,31676,1657,773,4072,405,6221,243154,6956,945,50,1659,1444305
2008-12,143886,3833,14500,11358,3740,131661,2256,4673,437,2054,26311,434,1649,25769,35936,1443,11177,7773,8887,17759,46,0,0,1474,1314,215,2350,8834,113,4089,3794,1207,16303,7789,1026,1148,38373,68,543679,39198,1840,4815,91786,8096,5376,7316,7165,46501,1996,9658,13021,236768,24074,349,1086,4266,271,808,157,364,1482,32857,3229,2722,996,3178,4682,385,3697,1893,20782,2121,394,193,5695,1374,1880,4141,3251,17834,57193,20320,8811,14011,274,1221,2533,4088,2806,3430,37156,2362,537,4006,232,3523,199386,4194,627,10,1370,1039674
2009-01,158969,2987,21241,12557,2756,102519,2466,5025,424,2335,31328,354,2125,28762,35992,2028,9332,8528,10429,26132,130,229,493,1061,905,113,2321,5565,110,3345,4383,1307,7392,12918,1026,1461,28225,122,537395,28043,2125,2445,66870,6151,2921,5069,3669,37542,1090,9052,13706,178683,23659,811,1462,3676,219,497,188,270,3730,34512,4775,2857,840,2962,2400,313,3632,1337,19116,1042,216,160,5569,715,1434,6067,2244,14826,27575,7288,9388,10533,209,577,2594,1537,1389,1086,27396,1118,668,2792,175,3831,130429,4530,585,6,1346,906602
2009-02,131017,2791,16520,10569,2574,97535,2769,5691,333,2532,29257,445,1925,24442,33371,1569,7962,7014,10281,16601,68,324,778,1075,975,156,2095,5904,153,3485,4809,1232,15647,6026,1423,1338,24710,73,475469,29625,2801,3129,84438,9274,3384,4936,4997,32056,1294,7368,14642,197944,17053,575,1221,3057,79,331,367,136,1353,24172,4288,2510,624,2918,5346,351,2945,1870,20852,411,343,200,3853,442,1644,5164,2281,15381,30736,7225,9532,16346,186,1566,2315,1383,1179,890,23947,2026,375,3134,265,3059,133883,3201,401,8,1184,857114
